2024-10-03 10:46:37 - GPU Memory: 21242 MB, CPU Usage: 14.8%, RAM Usage: 26526 MB / 1030999 MB
2024-10-03 10:46:43 - GPU Memory: 21242 MB, CPU Usage: 18.6%, RAM Usage: 26515 MB / 1030999 MB
2024-10-03 10:46:48 - GPU Memory: 21242 MB, CPU Usage: 6.6%, RAM Usage: 26463 MB / 1030999 MB
2024-10-03 10:46:53 - GPU Memory: 21242 MB, CPU Usage: 17.3%, RAM Usage: 26522 MB / 1030999 MB
2024-10-03 10:46:58 - GPU Memory: 21242 MB, CPU Usage: 19.6%, RAM Usage: 26479 MB / 1030999 MB
2024-10-03 10:47:04 - GPU Memory: 21242 MB, CPU Usage: 4.1%, RAM Usage: 26337 MB / 1030999 MB
2024-10-03 10:47:09 - GPU Memory: 21242 MB, CPU Usage: 4%, RAM Usage: 26384 MB / 1030999 MB
2024-10-03 10:47:14 - GPU Memory: 21242 MB, CPU Usage: 15.6%, RAM Usage: 26487 MB / 1030999 MB
2024-10-03 10:47:19 - GPU Memory: 21242 MB, CPU Usage: 16.3%, RAM Usage: 26531 MB / 1030999 MB
2024-10-03 10:47:25 - GPU Memory: 21242 MB, CPU Usage: 14.7%, RAM Usage: 26524 MB / 1030999 MB
2024-10-03 10:47:30 - GPU Memory: 21242 MB, CPU Usage: 16.4%, RAM Usage: 26574 MB / 1030999 MB
2024-10-03 10:47:35 - GPU Memory: 21242 MB, CPU Usage: 0.3%, RAM Usage: 26291 MB / 1030999 MB
2024-10-03 10:47:40 - GPU Memory: 21242 MB, CPU Usage: 3.5%, RAM Usage: 26405 MB / 1030999 MB
2024-10-03 10:47:46 - GPU Memory: 21242 MB, CPU Usage: 17.3%, RAM Usage: 26550 MB / 1030999 MB
2024-10-03 10:47:51 - GPU Memory: 21242 MB, CPU Usage: 17.1%, RAM Usage: 26552 MB / 1030999 MB
2024-10-03 10:47:56 - GPU Memory: 21242 MB, CPU Usage: 16.4%, RAM Usage: 26571 MB / 1030999 MB
2024-10-03 10:48:01 - GPU Memory: 21242 MB, CPU Usage: 11.1%, RAM Usage: 26257 MB / 1030999 MB
2024-10-03 10:48:06 - GPU Memory: 21242 MB, CPU Usage: 6.7%, RAM Usage: 26545 MB / 1030999 MB
2024-10-03 10:48:12 - GPU Memory: 21242 MB, CPU Usage: 19.4%, RAM Usage: 26609 MB / 1030999 MB
2024-10-03 10:48:17 - GPU Memory: 21242 MB, CPU Usage: 17.5%, RAM Usage: 26585 MB / 1030999 MB
2024-10-03 10:48:22 - GPU Memory: 21242 MB, CPU Usage: 2.4%, RAM Usage: 26422 MB / 1030999 MB
2024-10-03 10:48:27 - GPU Memory: 21242 MB, CPU Usage: 4.9%, RAM Usage: 26527 MB / 1030999 MB
2024-10-03 10:48:33 - GPU Memory: 21242 MB, CPU Usage: 18.6%, RAM Usage: 26585 MB / 1030999 MB
2024-10-03 10:48:38 - GPU Memory: 21242 MB, CPU Usage: 19.4%, RAM Usage: 26529 MB / 1030999 MB
2024-10-03 10:48:43 - GPU Memory: 21242 MB, CPU Usage: 18.2%, RAM Usage: 26531 MB / 1030999 MB
2024-10-03 10:48:48 - GPU Memory: 21242 MB, CPU Usage: 8.9%, RAM Usage: 26274 MB / 1030999 MB
2024-10-03 10:48:54 - GPU Memory: 21242 MB, CPU Usage: 3.4%, RAM Usage: 26450 MB / 1030999 MB
2024-10-03 10:48:59 - GPU Memory: 21242 MB, CPU Usage: 16.2%, RAM Usage: 26579 MB / 1030999 MB
2024-10-03 10:49:04 - GPU Memory: 21242 MB, CPU Usage: 2.4%, RAM Usage: 26434 MB / 1030999 MB
2024-10-03 10:49:09 - GPU Memory: 21242 MB, CPU Usage: 17.7%, RAM Usage: 26536 MB / 1030999 MB
